               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.020243,            0.010213,           0.0066635,             0.95966,                   1,               0.995,             0.67073,            0.017004,           0.0026854,          0.00038552,           0.0032185,           0.0032185,           0.0032185
                 139,            0.018133,           0.0099298,           0.0053966,             0.98533,                   1,               0.995,             0.65981,            0.015638,           0.0024618,          8.2219e-05,            0.003169,            0.003169,            0.003169
                 140,            0.021272,            0.010416,           0.0076977,             0.98454,                   1,               0.995,             0.70024,            0.013116,           0.0025605,           0.0001388,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019762,           0.0096924,           0.0079448,             0.99112,                   1,               0.995,             0.72947,             0.01504,           0.0024631,          0.00016519,             0.00307,             0.00307,             0.00307
                 142,            0.020986,            0.010207,           0.0098077,             0.98388,                   1,               0.995,             0.60126,            0.016222,           0.0028302,           0.0003386,           0.0030205,           0.0030205,           0.0030205
                 143,            0.017749,           0.0098284,           0.0053617,             0.98056,             0.96296,             0.97483,             0.69561,            0.017428,           0.0024011,          0.00017717,            0.002971,            0.002971,            0.002971
                 144,            0.020484,            0.010214,           0.0079598,             0.98918,                   1,               0.995,             0.69476,            0.014846,           0.0023595,          0.00013887,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020709,           0.0094809,           0.0063394,             0.98953,                   1,               0.995,             0.64781,              0.0157,           0.0023561,          0.00026586,            0.002872,            0.002872,            0.002872
                 146,            0.020157,           0.0098289,           0.0062313,             0.98855,                   1,               0.995,             0.71797,             0.01485,           0.0023863,          0.00033066,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019003,           0.0096117,           0.0053192,             0.98853,                   1,               0.995,              0.7253,            0.016245,           0.0023474,          0.00015914,            0.002773,            0.002773,            0.002773
                 148,            0.020079,           0.0095215,           0.0071207,             0.99167,                   1,               0.995,             0.71626,            0.015938,           0.0024337,          0.00015403,           0.0027235,           0.0027235,           0.0027235
                 149,            0.018775,           0.0097297,           0.0067785,             0.98821,                   1,               0.995,             0.68308,            0.017803,           0.0026597,          0.00023746,            0.002674,            0.002674,            0.002674
                 150,            0.019466,            0.010058,           0.0065791,             0.95502,             0.96322,               0.995,             0.57306,            0.018802,           0.0035552,           0.0030006,           0.0026245,           0.0026245,           0.0026245
                 151,            0.017262,            0.009674,           0.0050106,             0.98593,                   1,               0.995,             0.67714,            0.017563,           0.0025656,          0.00045683,            0.002575,            0.002575,            0.002575
                 152,               0.021,           0.0097714,           0.0080662,             0.99051,                   1,               0.995,             0.70136,            0.017273,           0.0024688,          0.00037744,           0.0025255,           0.0025255,           0.0025255
                 153,            0.020001,           0.0096882,           0.0068379,             0.98083,                   1,               0.995,             0.70875,            0.015173,           0.0023894,          0.00040884,            0.002476,            0.002476,            0.002476
                 154,            0.018479,           0.0094417,           0.0058952,             0.98576,                   1,               0.995,             0.68991,            0.014902,           0.0024469,          0.00014445,           0.0024265,           0.0024265,           0.0024265
                 155,            0.016811,           0.0090074,           0.0052631,              0.9893,                   1,               0.995,             0.65137,            0.012859,           0.0024995,          0.00020814,            0.002377,            0.002377,            0.002377
                 156,            0.017904,           0.0094165,           0.0062495,             0.99162,                   1,               0.995,             0.64168,            0.013622,           0.0025127,          0.00028646,           0.0023275,           0.0023275,           0.0023275
                 157,            0.018763,           0.0088495,           0.0055298,             0.99339,                   1,               0.995,             0.67388,            0.013654,           0.0026813,          0.00034944,            0.002278,            0.002278,            0.002278
                 158,            0.018953,           0.0089971,           0.0080179,             0.98251,                   1,               0.995,             0.67242,            0.015681,           0.0026653,           0.0006261,           0.0022285,           0.0022285,           0.0022285
